HELP_ID	CODE	UMASK	OTHER	COMMON	WEIGHT	COUNTER	NAME	DESCRIPTION	HELP_FILE	OVERFLOW	SAV_LOWER_LIMIT	PRECISE_EVENT	LATENCY	MSR_INDEX	MSR_VALUE	LBR_VALUE	DEFAULT	UNCORE_QUEUE_RESET	UNCORE	MIN_STEP	EM TRIGGER
0x10035	0x4E	0x2	0x53	0x40	0	0,1	L1D_PREFETCH.MISS	L1D hardware prefetch misses	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10035	0x4E	0x1	0x53	0x40	0	0,1	L1D_PREFETCH.REQUESTS	L1D hardware prefetch requests	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10035	0x4E	0x4	0x53	0x40	0	0,1	L1D_PREFETCH.TRIGGERS	L1D hardware prefetch requests triggered	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10036	0x28	0x4	0x53	0x40	0	0,1,2,3	L1D_WB_L2.E_STATE	L1 writebacks to L2 in E state	pmw_sp.chm	100000	0	0	0	0	0	0	0	0	0	0	0
0x10036	0x28	0x1	0x53	0x40	0	0,1,2,3	L1D_WB_L2.I_STATE	L1 writebacks to L2 in I state (misses)	pmw_sp.chm	100000	0	0	0	0	0	0	0	0	0	0	0
0x10036	0x28	0x8	0x53	0x40	0	0,1,2,3	L1D_WB_L2.M_STATE	L1 writebacks to L2 in M state	pmw_sp.chm	100000	0	0	0	0	0	0	0	0	0	0	0
0x10036	0x28	0xF	0x53	0x40	0	0,1,2,3	L1D_WB_L2.MESI	All L1 writebacks to L2	pmw_sp.chm	100000	0	0	0	0	0	0	0	0	0	0	0
0x10036	0x28	0x2	0x53	0x40	0	0,1,2,3	L1D_WB_L2.S_STATE	L1 writebacks to L2 in S state	pmw_sp.chm	100000	0	0	0	0	0	0	0	0	0	0	0
0x10037	0x80	0x4	0x53	0x1000	0	0,1,2,3	L1I.CYCLES_STALLED	L1I instruction fetch stall cycles	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10037	0x80	0x1	0x53	0x1000	0	0,1,2,3	L1I.HITS	L1I instruction fetch hits	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10037	0x80	0x2	0x53	0x1000	0	0,1,2,3	L1I.MISSES	L1I instruction fetch misses	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10037	0x80	0x3	0x53	0x1000	0	0,1,2,3	L1I.READS	L1I Instruction fetches	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10039	0x26	0xFF	0x53	0x80	0	0,1,2,3	L2_DATA_RQSTS.ANY	All L2 data requests	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10039	0x26	0x4	0x53	0x80	0	0,1,2,3	L2_DATA_RQSTS.DEMAND.E_STATE	L2 data demand loads in E state	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10039	0x26	0x1	0x53	0x80	0	0,1,2,3	L2_DATA_RQSTS.DEMAND.I_STATE	L2 data demand loads in I state (misses)	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10039	0x26	0x8	0x53	0x80	0	0,1,2,3	L2_DATA_RQSTS.DEMAND.M_STATE	L2 data demand loads in M state	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10039	0x26	0xF	0x53	0x80	0	0,1,2,3	L2_DATA_RQSTS.DEMAND.MESI	L2 data demand requests	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10039	0x26	0x2	0x53	0x80	0	0,1,2,3	L2_DATA_RQSTS.DEMAND.S_STATE	L2 data demand loads in S state	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10039	0x26	0x40	0x53	0x80	0	0,1,2,3	L2_DATA_RQSTS.PREFETCH.E_STATE	L2 data prefetches in E state	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10039	0x26	0x10	0x53	0x80	0	0,1,2,3	L2_DATA_RQSTS.PREFETCH.I_STATE	L2 data prefetches in the I state (misses)	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10039	0x26	0x80	0x53	0x80	0	0,1,2,3	L2_DATA_RQSTS.PREFETCH.M_STATE	L2 data prefetches in M state	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10039	0x26	0xF0	0x53	0x80	0	0,1,2,3	L2_DATA_RQSTS.PREFETCH.MESI	All L2 data prefetches	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
